"","day","temp","wdsp","NUM_TRIPS"
"553",3,78.3,4.2,0.838858615185108
"554",4,74.3,8.4,0.863764929322909
"555",5,75.7,7.6,0.865036197970735
"556",6,75.7,7.6,0.788247827611206
"557",7,71.9,5.4,0.748753407918966
"558",1,75.8,6.9,0.781610682060306
"559",2,76.4,8.4,0.889848911337946
"560",3,73.6,7.9,0.933473677761478
"561",4,70.3,8.6,0.946092763469151
"562",5,72.5,8.4,0.972658363994677
"563",6,78.2,10.2,0.888366615498245
"564",7,77.9,10.8,0.733549239110827
"565",1,72.4,4.6,0.739158478017434
"566",2,74.2,6.5,0.792034404239604
"567",3,74.3,5.6,0.831712621808639
"568",4,75.5,11.5,0.842948117943778
"569",5,70.5,6.1,0.862680862216262
"570",6,74.5,4.9,0.810848159128117
"571",7,77.2,8.4,0.724652060408235
"572",1,73,9.4,0.814433919557796
"573",2,72.1,7.6,0.826365465059683
"574",3,75.8,10.9,0.843850089005824
"575",4,75.7,14.7,0.894387697795447
"576",5,69.7,6.6,0.882810133389607
"577",6,66.5,5.3,0.79958713551009
"578",7,64.9,5,0.669029377027308
"583",5,78.1,6.8,0.754383068811883
"584",6,67.4,6.8,0.734475035823568
"586",1,74.7,9,0.679138260250986
"587",2,75.8,7.1,0.748392619494147
"588",3,72,7.1,0.784003458123015
"589",4,68.1,5.1,0.796983332255506
"590",5,67.2,7.5,0.790914598656914
"591",6,64.4,5,0.71864118910419
"592",7,65,5,0.664783305706924
"593",1,71.1,8.8,0.681837366108352
"594",2,76,10.5,0.748317738877676
"595",3,72.6,4.1,0.762335730647615
"596",4,71.4,3.6,0.802982290734204
"597",5,71.8,6.5,0.781494957471214
"598",6,66.1,4.6,0.703950973618197
"600",1,64,16.9,0.658302728717738
"601",2,60,17.5,0.69984955803418
"602",3,65.8,10.6,0.765996371693766
"603",4,69.2,8.2,0.763436816076188
"604",5,66.5,6.5,0.765177790409154
"605",6,64.6,4.9,0.707541839544454
"608",2,76.8,5.2,0.723416530236453
"609",3,78.5,4.5,0.766556274485111
"610",4,76.2,9.2,0.783200193328137
"611",5,73.9,8.3,0.752284709718483
"612",6,73.8,16.8,0.674134873604923
"615",2,68.1,9.8,0.723813057137314
"616",3,71.2,13.3,0.782703258327916
"617",4,64.9,8.6,0.794282524565948
"618",5,61.9,6.5,0.758370461639001
"619",6,60.1,7,0.829210928485608
"620",7,56.7,5.8,0.760337779653575
"621",1,58.7,4,0.754338821174877
"622",2,61.9,5.4,0.814650052246248
"623",3,59.4,7.2,0.851089683152882
"624",4,56.1,5.7,0.81703091548361
"625",5,64.3,11.4,0.872034131946454
"626",6,57.7,4.9,0.829578524239196
"635",1,65.8,3.2,0.733894711045912
"636",2,71.4,5.8,0.787034421257926
"637",3,70.6,4,0.81584473844541
"638",4,71.8,5.8,0.845237082242743
"642",1,53.8,8.8,0.744514143927352
"643",2,56.3,7.8,0.778281898291701
"644",3,58.7,4.1,0.813731062862277
"645",4,60,6.8,0.851050541012454
"646",5,63.2,5.6,0.858322469971171
"647",6,65.3,5.2,0.880175697155558
"648",7,58,3.5,0.765987862532803
"649",1,65.4,2.5,0.694255635617306
"650",2,62.8,3.1,0.781098430570352
"651",3,56,4.3,0.809597312466601
"652",4,55.8,3.1,0.82235424658187
"653",5,53.2,7.8,0.883477251609082
"654",6,54,10.5,0.898175976256037
"655",7,56.9,4.5,0.781067797590886
"656",1,55.4,5.6,0.744565198893128
"657",2,53,1.7,0.78941698632748
"658",3,54,2.9,0.841212249107389
"659",4,53.8,6.4,0.876013015612609
"660",5,49.3,6.7,0.896686873087566
"661",6,52.8,5.2,0.885524555736706
"662",7,60.4,2.8,0.764236677206681
"663",1,61.9,3.2,0.733072726096916
"664",2,67.1,5.4,0.790410856327923
"665",3,69.4,5.3,0.818862086922781
"666",4,68,5.7,0.854546104335928
"667",5,54.8,7.5,0.902614354614178
"668",6,49.1,6.7,0.917127579552146
"669",7,51.6,7.3,0.810417595583405
"670",1,42.6,5.5,0.799791355373195
"671",2,42.2,3.7,0.795776733230997
"672",3,46.4,2.5,0.833885861518511
"673",4,48.4,6.2,0.856828261306122
"674",5,48.1,4.3,0.882202579296871
"675",6,45.7,4.8,0.907879823417892
"676",7,43.3,4.8,0.788562666566826
"677",1,42.5,9.3,0.765250969193434
"678",2,46.1,7.6,0.788109979203611
"679",3,50.7,6.4,0.826300795436367
"680",4,47.7,6.4,0.831348429719436
"681",5,52.1,4.8,0.879491560614157
"682",6,54.7,3.7,0.892045976698514
"683",7,53.2,2.3,0.782270992951011
"684",1,52.9,4.6,0.744396717506067
"685",2,53.7,3.9,0.768474239366102
"686",3,58,8.7,0.801728040408304
"687",4,50.8,7.1,0.857662159080466
"688",5,44.6,5.7,0.907699429205483
"689",6,46.6,6,0.904838649289825
"690",7,44.2,5.7,0.775516420978826
"691",1,53.4,4.6,0.72563401758333
"692",2,57.2,5.9,0.781198838669712
"693",3,47.4,9,0.782938111170486
"696",6,38.6,8,0.714560195506482
"697",7,40,5,0.662080796185173
"698",1,41.4,2.5,0.713207238913414
"699",2,49.2,4.6,0.761585222650706
"700",3,56.3,10.3,0.830085670232572
"701",4,38.6,7.4,0.863460301360445
"702",5,36.6,4.8,0.910818887614406
"703",6,35.1,7.1,0.926598275703623
"704",7,32.8,8.2,0.811117048614538
"705",1,32.4,9.2,0.7981252616567
"706",2,32.7,8.9,0.84557744868125
"707",3,31.2,8.9,0.866855456584559
"708",4,27.3,7.4,0.902137841600267
"709",5,27.3,4.2,0.920548262259148
"710",6,39.2,3,0.904956075711111
"711",7,47.2,7.9,0.787897250179543
"712",1,42.4,5.7,0.798860453163876
"713",2,21.5,10.3,0.865744160162831
"714",3,22.8,9.1,0.889525563221364
"715",4,26.3,5.9,0.903802233484569
"716",5,28.4,5.7,0.935492050741829
"717",6,31.7,3.8,0.912306288950684
"718",7,32.7,3.6,0.809236524041783
"719",1,30.4,6.8,0.789968379957863
"720",2,32,9,0.830174165506584
"721",3,31.9,7.5,0.825597938740848
"722",4,32.5,10.8,0.782623272214866
"730",5,39.9,5,0.733025074795525
"734",2,33.9,5.6,0.686481271588946
"735",3,35.6,5.6,0.740551462651123
