"","day_index","day","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"1768",190,7,2013,7,69.8,5.7,6.5,0.25390625
"1787",191,7,2013,7,72.8,6.6,5.3,0.1796875
"1791",192,2,2013,7,67.7,4,9.5,0.48046875
"1793",193,4,2013,7,71.8,4.9,9.5,0.380859375
"1797",194,3,2013,7,74.9,5.7,8.4,0.421875
"1806",195,2,2013,7,72.7,5.7,7,0.4453125
"1817",196,2,2013,7,72.1,3.7,8.1,0.421875
"1821",197,1,2013,7,66.7,4.1,10.4,0.54296875
"1827",198,4,2013,7,75.6,8.1,6.8,0.548828125
"1832",199,2,2013,7,77.4,8.3,7.3,0.443359375
"1834",200,7,2013,7,72.9,4.5,5.3,0.2265625
"1844",201,7,2013,7,74.4,9,9.1,0.234375
"1849",202,6,2013,7,69.1,9.6,8.8,0.314453125
"1861",203,3,2013,7,68.7,2.5,9.5,0.546875
"1862",204,5,2013,7,69.4,3.1,6.7,0.4765625
"1863",205,4,2013,7,69.8,1.8,11.9,0.162109375
"1880",206,6,2013,7,73,8.1,13.1,0.314453125
"1884",207,5,2013,7,73.9,2.8,9.6,0.66796875
"1893",208,6,2013,7,74.5,3.3,11.8,0.3828125
"1900",209,5,2013,7,71.6,6.8,12.4,0.431640625
"1902",210,1,2013,7,72.6,6.7,10.7,0.51171875
"1928",211,4,2013,7,67.7,9.7,13.8,0.296875
"1937",212,5,2013,7,66.1,6,15,0.51171875
"1981",213,6,2013,8,67.3,10,3.2,0.291015625
"1982",214,7,2013,8,64.8,8.4,3.3,0.169921875
"1988",215,2,2013,8,66.2,10,5.3,0.3671875
"2018",216,3,2013,8,66.4,3.9,6.8,0.248046875
"2022",217,4,2013,8,67.8,10,6.7,0.37890625
"2029",218,3,2013,8,64.5,9.9,5.1,0.298828125
"2035",219,3,2013,8,70.3,7.1,6.5,0.404296875
"2039",220,4,2013,8,68.9,9.8,5.3,0.5625
"2052",221,2,2013,8,71,9.5,7,0.365234375
"2062",222,1,2013,8,68.2,10,7.2,0.3203125
"2071",223,7,2013,8,69.5,10,7.5,0.24609375
"2081",224,7,2013,8,69.4,9,8.3,0.193359375
"2083",225,5,2013,8,67.4,10,8.2,0.630859375
"2106",226,7,2013,8,64,10,6.7,0.203125
"2111",227,6,2013,8,69.4,7,10.9,0.244140625
"2123",228,1,2013,8,65.5,9.5,8.1,0.208984375
"2155",229,4,2013,8,70.5,3.9,9.8,0.435546875
"2157",230,2,2013,8,68,4.5,8,0.294921875
"2163",231,6,2013,8,72.4,6.4,11.2,0.2734375
"2179",232,4,2013,8,67.2,10,10.2,0.4765625
"2181",233,5,2013,8,69.7,9.5,8.3,0.529296875
"2193",234,1,2013,8,68.1,10,12.2,0.37109375
"2200",235,6,2013,8,69.3,7.2,10.9,0.267578125
"2208",236,4,2013,8,65.7,5.8,11.3,0.423828125
"2213",237,2,2013,8,67.8,4.6,3.4,0.384765625
"2214",238,5,2013,8,65,9.9,10.8,0.4765625
"2231",239,1,2013,8,68.3,10,11.2,0.32421875
"2233",240,6,2013,8,66.2,10,10.7,0.3359375
"2234",241,3,2013,8,68.4,8.3,9.6,0.521484375
"2242",242,5,2013,8,70.7,9.3,13.1,0.4375
"2247",243,5,2013,8,70.6,7.8,12.1,0.548828125
"2297",244,3,2013,9,55.3,10,4.5,0.359375
"2300",245,5,2013,9,62.6,9.5,6.2,0.5390625
"2323",246,6,2013,9,59.2,10,7.4,0.375
"2331",247,3,2013,9,56.1,10,5.8,0.421875
"2333",248,2,2013,9,70.1,2,6.8,0.3828125
"2337",249,1,2013,9,70.8,7,7.7,0.1484375
"2354",250,5,2013,9,60.3,10,5.3,0.330078125
"2362",251,2,2013,9,54.5,10,8.4,0.5078125
"2365",252,7,2013,9,70.7,7.5,10.1,0.244140625
"2378",253,7,2013,9,61.2,10,6.6,0.236328125
"2379",254,6,2013,9,63.6,9.9,7.8,0.373046875
"2381",255,7,2013,9,54.9,10,7.8,0.294921875
"2383",256,1,2013,9,62.4,10,7.4,0.419921875
"2385",257,6,2013,9,64.5,10,9.1,0.3203125
"2386",258,3,2013,9,69.9,6.8,10.9,0.431640625
"2407",259,1,2013,9,57.5,10,10.4,0.59765625
"2408",260,5,2013,9,69.1,6.1,8.9,0.580078125
"2414",261,3,2013,9,68.5,8.9,8.8,0.486328125
