"","day","day_index","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"2755",3,300,2013,10,50.7,10,10.3,0.517578125
"2764",1,301,2013,10,58.6,10,13.2,0.392578125
"2766",5,302,2013,10,56.4,10,11.6,0.33984375
"2781",1,303,2013,10,49,10,13.7,0.529296875
"2785",2,304,2013,10,54.3,10,13.8,0.306640625
"2826",4,305,2013,11,43.5,10,3.9,0.302734375
"2835",5,306,2013,11,46.5,10,3.7,0.546875
"2838",6,307,2013,11,39,10,4.9,0.533203125
"2841",1,308,2013,11,51.2,9.6,6.5,0.501953125
"2857",1,309,2013,11,31.3,10,6.5,0.2421875
"2862",2,310,2013,11,48.9,6.8,7,0.345703125
"2872",7,311,2013,11,31.2,10,8.7,0.16015625
"2878",1,312,2013,11,57.4,6.4,5.6,0.3828125
"2897",5,313,2013,11,33.5,10,12.6,0.46484375
"2923",5,314,2013,11,38,10,14.5,0.4921875
"2925",7,315,2013,11,53,10,12.3,0.51171875
"2937",7,316,2013,11,46.2,9.4,5.6,0.677734375
"2941",1,317,2013,11,47.3,9.6,9.9,0.353515625
"2954",4,318,2013,11,44.4,10,11.3,1
"2977",3,319,2013,11,42,10,13.9,0.591796875
"2979",6,320,2013,11,57.8,7.1,11.4,0.568359375
"2981",7,321,2013,11,47.1,10,13.7,0.638671875
"2993",1,322,2013,11,41.7,10,12.9,0.421875
"2998",4,323,2013,11,47,9.8,14,0.478515625
"2999",3,324,2013,11,47.1,10,15.9,0.197265625
"3002",6,325,2013,11,42.8,10,14.2,0.517578125
"3014",4,326,2013,11,45.7,8.5,16.5,0.5703125
"3028",3,327,2013,11,55.9,5,13.5,0.5
"3029",7,328,2013,11,62.3,6.3,18.2,0.693359375
"3034",2,329,2013,11,49.4,8.8,12,0.1171875
"3036",6,330,2013,11,40.1,9.4,14.9,0.14453125
"3050",2,331,2013,11,52.5,10,13,0.232421875
"3059",3,332,2013,11,27,10,15.4,0.693359375
"3060",2,333,2013,11,30.5,10,18.3,0.271484375
"3075",5,334,2013,11,53.3,5.2,20,0.755859375
"3113",3,335,2013,12,44,7,7.1,0.37890625
"3117",5,336,2013,12,39.8,9.8,6.4,0.322265625
"3133",7,337,2013,12,42.5,8.3,7.4,0.623046875
"3136",6,338,2013,12,43.4,8.3,7.4,0.42578125
"3145",3,339,2013,12,48.7,3.5,6.7,0.6875
"3153",2,340,2013,12,43.1,9.8,10.9,0.126953125
"3156",1,341,2013,12,47.6,5.5,9,0.466796875
"3159",7,342,2013,12,50.6,3,8.4,0.7890625
"3163",6,343,2013,12,33.3,9.3,7.8,0.142578125
"3172",1,344,2013,12,26.9,8.1,10.7,0.654296875
"3180",2,345,2013,12,34,10,8.8,0.197265625
"3181",4,346,2013,12,28.5,9.4,10.1,0.21484375
"3197",7,347,2013,12,33.1,10,10,0.236328125
"3209",4,348,2013,12,38.8,6.7,9.1,0.359375
"3213",3,349,2013,12,32,10,12.5,0.556640625
"3229",4,351,2013,12,41.8,10,11.7,0.38671875
"3236",5,352,2013,12,31.8,9.9,12.8,0.48828125
"3244",1,353,2013,12,39.3,9.9,10.4,0.234375
"3247",4,354,2013,12,28.6,9,9.6,0.6796875
"3257",6,356,2013,12,28.1,10,11.5,0.572265625
"3278",4,357,2013,12,38.4,8.8,13.4,0.3125
"3279",6,358,2013,12,39.1,10,13.8,0.4921875
"3297",3,359,2013,12,40.8,6.8,11.2,0.5546875
"3311",2,360,2013,12,51.9,2.1,15.2,0.29296875
"3319",5,361,2013,12,35.4,8.7,13,0.67578125
"3324",2,362,2013,12,43.2,6.9,7.8,0.076171875
"3328",7,363,2013,12,28.1,9.9,12.7,0.6640625
"3334",3,364,2013,12,42.5,8.8,14.1,0.236328125
"3337",2,365,2013,12,40,5.8,18.9,0.185546875
"36",7,366,2014,1,38.6,6.7,3.7,0.546875
"51",7,367,2014,1,28.8,9.7,5.8,0.720982142857143
"52",6,368,2014,1,40.8,4.6,5.9,0.395089285714286
"60",6,369,2014,1,23.5,10,7.9,0.484375
"63",3,370,2014,1,38.6,9.2,7.7,0.5
"79",5,371,2014,1,20.3,6.3,8.1,0.680803571428571
"93",7,372,2014,1,33.7,9.9,9.1,0.482142857142857
"96",4,373,2014,1,45.5,5.2,11.8,0.479910714285714
"106",5,374,2014,1,41.1,6.5,6,0.533482142857143
"109",7,375,2014,1,14.8,10,11.8,0.805803571428571
"111",6,376,2014,1,22,10,8.1,0.698660714285714
"125",5,377,2014,1,18.2,10,12,0.607142857142857
"129",3,378,2014,1,38.8,8.8,12.3,0.372767857142857
"135",4,379,2014,1,22.2,10,10.7,0.357142857142857
"161",1,381,2014,1,38.8,8.7,7.9,0.232142857142857
"162",6,382,2014,1,16.5,9.7,11.1,0.598214285714286
"171",3,383,2014,1,46.3,2.5,14.8,0.388392857142857
"192",5,384,2014,1,28.2,10,11.3,0.122767857142857
"198",1,385,2014,1,18.8,9.3,12.1,0.165178571428571
"208",1,387,2014,1,44.8,4.4,13.4,0.270089285714286
"215",2,388,2014,1,26.8,9.4,17.8,0.270089285714286
"216",3,389,2014,1,41,10,16.8,0.0357142857142857
"231",6,390,2014,1,31.1,5.8,10.9,0.578125
"245",1,391,2014,1,32,8.5,17,0.292410714285714
"249",2,392,2014,1,36.1,10,16.5,0.0803571428571429
"253",2,393,2014,1,45.1,5.5,14.7,0.0982142857142857
"260",4,394,2014,1,23.9,9.4,17.6,0.328125
"274",7,395,2014,1,24.2,0.8,26.9,0.176339285714286
"275",5,396,2014,1,25,1.9,25.7,0.34375
"314",1,397,2014,2,35.6,10,4.8,0.363839285714286
"324",2,398,2014,2,30.3,10,4.9,0.236607142857143
"332",1,399,2014,2,28.2,10,8.6,0.178571428571429
